x_satelliet_plot,y_satelliet_plot,columxaarde,columyaarde,columxmars,columymars
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]","[-1.4958e+11 -1.4958e+11 -1.4958e+11 -1.4958e+11 -1.4958e+11 -1.4958e+11
 -1.4958e+11 -1.4958e+11 -1.4958e+11 -1.4958e+11 -1.4958e+11 -1.4958e+11
 -1.4958e+11 -1.4958e+11 -1.4958e+11 -1.4958e+11 -1.4958e+11 -1.4958e+11
 -1.4958e+11 -1.4958e+11 -1.4958e+11 -1.4958e+11 -1.4958e+11 -1.4958e+11
 -1.4958e+11 -1.4958e+11 -1.4958e+11 -1.4958e+11 -1.4958e+11 -1.4958e+11
 -1.4958e+11 -1.4958e+11 -1.4958e+11 -1.4958e+11 -1.4958e+11 -1.4958e+11
 -1.4958e+11 -1.4958e+11 -1.4958e+11 -1.4958e+11 -1.4958e+11 -1.4958e+11
 -1.4958e+11 -1.4958e+11 -1.4958e+11 -1.4958e+11 -1.4958e+11 -1.4958e+11
 -1.4958e+11 -1.4958e+11]",0.0053631,-149.59999980784102,0.0042490002544569565,227.99999991727145
"[5.34518614e+09 5.34518614e+09 5.34518614e+09 5.34518614e+09
 5.34518614e+09 5.34518614e+09 5.34518614e+09 5.34518614e+09
 5.34518614e+09 5.34518614e+09 5.34518614e+09 5.34518614e+09
 5.34518614e+09 5.34518614e+09 5.34518614e+09 5.34518614e+09
 5.34518614e+09 5.34518614e+09 5.34518614e+09 5.34518614e+09
 5.34518614e+09 5.34518614e+09 5.34518614e+09 5.34518614e+09
 5.34518614e+09 5.34518614e+09 5.34518614e+09 5.34518614e+09
 5.34518614e+09 5.34518614e+09 5.34518614e+09 5.34518614e+09
 5.34518614e+09 5.34518614e+09 5.34518614e+09 5.34518614e+09
 5.34518614e+09 5.34518614e+09 5.34518614e+09 5.34518614e+09
 5.34518614e+09 5.34518614e+09 5.34518614e+09 5.34518614e+09
 5.34518614e+09 5.34518614e+09 5.34518614e+09 5.34518614e+09
 5.34518614e+09 5.34518614e+09]","[-1.49501888e+11 -1.49501888e+11 -1.49501888e+11 -1.49501888e+11
 -1.49501888e+11 -1.49501888e+11 -1.49501888e+11 -1.49501888e+11
 -1.49501888e+11 -1.49501888e+11 -1.49501888e+11 -1.49501888e+11
 -1.49501888e+11 -1.49501888e+11 -1.49501888e+11 -1.49501888e+11
 -1.49501888e+11 -1.49501888e+11 -1.49501888e+11 -1.49501888e+11
 -1.49501888e+11 -1.49501888e+11 -1.49501888e+11 -1.49501888e+11
 -1.49501888e+11 -1.49501888e+11 -1.49501888e+11 -1.49501888e+11
 -1.49501888e+11 -1.49501888e+11 -1.49501888e+11 -1.49501888e+11
 -1.49501888e+11 -1.49501888e+11 -1.49501888e+11 -1.49501888e+11
 -1.49501888e+11 -1.49501888e+11 -1.49501888e+11 -1.49501888e+11
 -1.49501888e+11 -1.49501888e+11 -1.49501888e+11 -1.49501888e+11
 -1.49501888e+11 -1.49501888e+11 -1.49501888e+11 -1.49501888e+11
 -1.49501888e+11 -1.49501888e+11]",5.3673115894653645,-149.50364236954144,4.252991459595788,227.9585126427293
"[1.07285162e+10 1.07285162e+10 1.07285162e+10 1.07285162e+10
 1.07285162e+10 1.07285162e+10 1.07285162e+10 1.07285162e+10
 1.07285162e+10 1.07285162e+10 1.07285162e+10 1.07285162e+10
 1.07285162e+10 1.07285162e+10 1.07285162e+10 1.07285162e+10
 1.07285162e+10 1.07285162e+10 1.07285162e+10 1.07285162e+10
 1.07285162e+10 1.07285162e+10 1.07285162e+10 1.07285162e+10
 1.07285162e+10 1.07285162e+10 1.07285162e+10 1.07285162e+10
 1.07285162e+10 1.07285162e+10 1.07285162e+10 1.07285162e+10
 1.07285162e+10 1.07285162e+10 1.07285162e+10 1.07285162e+10
 1.07285162e+10 1.07285162e+10 1.07285162e+10 1.07285162e+10
 1.07285162e+10 1.07285162e+10 1.07285162e+10 1.07285162e+10
 1.07285162e+10 1.07285162e+10 1.07285162e+10 1.07285162e+10
 1.07285162e+10 1.07285162e+10]","[-1.49225667e+11 -1.49225667e+11 -1.49225667e+11 -1.49225667e+11
 -1.49225667e+11 -1.49225667e+11 -1.49225667e+11 -1.49225667e+11
 -1.49225667e+11 -1.49225667e+11 -1.49225667e+11 -1.49225667e+11
 -1.49225667e+11 -1.49225667e+11 -1.49225667e+11 -1.49225667e+11
 -1.49225667e+11 -1.49225667e+11 -1.49225667e+11 -1.49225667e+11
 -1.49225667e+11 -1.49225667e+11 -1.49225667e+11 -1.49225667e+11
 -1.49225667e+11 -1.49225667e+11 -1.49225667e+11 -1.49225667e+11
 -1.49225667e+11 -1.49225667e+11 -1.49225667e+11 -1.49225667e+11
 -1.49225667e+11 -1.49225667e+11 -1.49225667e+11 -1.49225667e+11
 -1.49225667e+11 -1.49225667e+11 -1.49225667e+11 -1.49225667e+11
 -1.49225667e+11 -1.49225667e+11 -1.49225667e+11 -1.49225667e+11
 -1.49225667e+11 -1.49225667e+11 -1.49225667e+11 -1.49225667e+11
 -1.49225667e+11 -1.49225667e+11]",10.722366579499134,-149.2152701225013,8.500190589570803,227.83431208186204
"[1.60555202e+10 1.60555202e+10 1.60555202e+10 1.60555202e+10
 1.60555202e+10 1.60555202e+10 1.60555202e+10 1.60555202e+10
 1.60555202e+10 1.60555202e+10 1.60555202e+10 1.60555202e+10
 1.60555202e+10 1.60555202e+10 1.60555202e+10 1.60555202e+10
 1.60555202e+10 1.60555202e+10 1.60555202e+10 1.60555202e+10
 1.60555202e+10 1.60555202e+10 1.60555202e+10 1.60555202e+10
 1.60555202e+10 1.60555202e+10 1.60555202e+10 1.60555202e+10
 1.60555202e+10 1.60555202e+10 1.60555202e+10 1.60555202e+10
 1.60555202e+10 1.60555202e+10 1.60555202e+10 1.60555202e+10
 1.60555202e+10 1.60555202e+10 1.60555202e+10 1.60555202e+10
 1.60555202e+10 1.60555202e+10 1.60555202e+10 1.60555202e+10
 1.60555202e+10 1.60555202e+10 1.60555202e+10 1.60555202e+10
 1.60555202e+10 1.60555202e+10]","[-1.48716847e+11 -1.48716847e+11 -1.48716847e+11 -1.48716847e+11
 -1.48716847e+11 -1.48716847e+11 -1.48716847e+11 -1.48716847e+11
 -1.48716847e+11 -1.48716847e+11 -1.48716847e+11 -1.48716847e+11
 -1.48716847e+11 -1.48716847e+11 -1.48716847e+11 -1.48716847e+11
 -1.48716847e+11 -1.48716847e+11 -1.48716847e+11 -1.48716847e+11
 -1.48716847e+11 -1.48716847e+11 -1.48716847e+11 -1.48716847e+11
 -1.48716847e+11 -1.48716847e+11 -1.48716847e+11 -1.48716847e+11
 -1.48716847e+11 -1.48716847e+11 -1.48716847e+11 -1.48716847e+11
 -1.48716847e+11 -1.48716847e+11 -1.48716847e+11 -1.48716847e+11
 -1.48716847e+11 -1.48716847e+11 -1.48716847e+11 -1.48716847e+11
 -1.48716847e+11 -1.48716847e+11 -1.48716847e+11 -1.48716847e+11
 -1.48716847e+11 -1.48716847e+11 -1.48716847e+11 -1.48716847e+11
 -1.48716847e+11 -1.48716847e+11]",16.063650332030424,-148.7352536793524,12.744305088042264,227.6274374697014
"[2.13618726e+10 2.13618726e+10 2.13618726e+10 2.13618726e+10
 2.13618726e+10 2.13618726e+10 2.13618726e+10 2.13618726e+10
 2.13618726e+10 2.13618726e+10 2.13618726e+10 2.13618726e+10
 2.13618726e+10 2.13618726e+10 2.13618726e+10 2.13618726e+10
 2.13618726e+10 2.13618726e+10 2.13618726e+10 2.13618726e+10
 2.13618726e+10 2.13618726e+10 2.13618726e+10 2.13618726e+10
 2.13618726e+10 2.13618726e+10 2.13618726e+10 2.13618726e+10
 2.13618726e+10 2.13618726e+10 2.13618726e+10 2.13618726e+10
 2.13618726e+10 2.13618726e+10 2.13618726e+10 2.13618726e+10
 2.13618726e+10 2.13618726e+10 2.13618726e+10 2.13618726e+10
 2.13618726e+10 2.13618726e+10 2.13618726e+10 2.13618726e+10
 2.13618726e+10 2.13618726e+10 2.13618726e+10 2.13618726e+10
 2.13618726e+10 2.13618726e+10]","[-1.48066245e+11 -1.48066245e+11 -1.48066245e+11 -1.48066245e+11
 -1.48066245e+11 -1.48066245e+11 -1.48066245e+11 -1.48066245e+11
 -1.48066245e+11 -1.48066245e+11 -1.48066245e+11 -1.48066245e+11
 -1.48066245e+11 -1.48066245e+11 -1.48066245e+11 -1.48066245e+11
 -1.48066245e+11 -1.48066245e+11 -1.48066245e+11 -1.48066245e+11
 -1.48066245e+11 -1.48066245e+11 -1.48066245e+11 -1.48066245e+11
 -1.48066245e+11 -1.48066245e+11 -1.48066245e+11 -1.48066245e+11
 -1.48066245e+11 -1.48066245e+11 -1.48066245e+11 -1.48066245e+11
 -1.48066245e+11 -1.48066245e+11 -1.48066245e+11 -1.48066245e+11
 -1.48066245e+11 -1.48066245e+11 -1.48066245e+11 -1.48066245e+11
 -1.48066245e+11 -1.48066245e+11 -1.48066245e+11 -1.48066245e+11
 -1.48066245e+11 -1.48066245e+11 -1.48066245e+11 -1.48066245e+11
 -1.48066245e+11 -1.48066245e+11]",21.38430285720931,-148.06421019473152,16.983794339160468,227.33795419964176
"[2.6683841e+10 2.6683841e+10 2.6683841e+10 2.6683841e+10 2.6683841e+10
 2.6683841e+10 2.6683841e+10 2.6683841e+10 2.6683841e+10 2.6683841e+10
 2.6683841e+10 2.6683841e+10 2.6683841e+10 2.6683841e+10 2.6683841e+10
 2.6683841e+10 2.6683841e+10 2.6683841e+10 2.6683841e+10 2.6683841e+10
 2.6683841e+10 2.6683841e+10 2.6683841e+10 2.6683841e+10 2.6683841e+10
 2.6683841e+10 2.6683841e+10 2.6683841e+10 2.6683841e+10 2.6683841e+10
 2.6683841e+10 2.6683841e+10 2.6683841e+10 2.6683841e+10 2.6683841e+10
 2.6683841e+10 2.6683841e+10 2.6683841e+10 2.6683841e+10 2.6683841e+10
 2.6683841e+10 2.6683841e+10 2.6683841e+10 2.6683841e+10 2.6683841e+10
 2.6683841e+10 2.6683841e+10 2.6683841e+10 2.6683841e+10 2.6683841e+10]","[-1.47213941e+11 -1.47213941e+11 -1.47213941e+11 -1.47213941e+11
 -1.47213941e+11 -1.47213941e+11 -1.47213941e+11 -1.47213941e+11
 -1.47213941e+11 -1.47213941e+11 -1.47213941e+11 -1.47213941e+11
 -1.47213941e+11 -1.47213941e+11 -1.47213941e+11 -1.47213941e+11
 -1.47213941e+11 -1.47213941e+11 -1.47213941e+11 -1.47213941e+11
 -1.47213941e+11 -1.47213941e+11 -1.47213941e+11 -1.47213941e+11
 -1.47213941e+11 -1.47213941e+11 -1.47213941e+11 -1.47213941e+11
 -1.47213941e+11 -1.47213941e+11 -1.47213941e+11 -1.47213941e+11
 -1.47213941e+11 -1.47213941e+11 -1.47213941e+11 -1.47213941e+11
 -1.47213941e+11 -1.47213941e+11 -1.47213941e+11 -1.47213941e+11
 -1.47213941e+11 -1.47213941e+11 -1.47213941e+11 -1.47213941e+11
 -1.47213941e+11 -1.47213941e+11 -1.47213941e+11 -1.47213941e+11
 -1.47213941e+11 -1.47213941e+11]",26.677490767338046,-147.20300256538167,21.21711875768079,226.96595382199357
"[3.19260028e+10 3.19260028e+10 3.19260028e+10 3.19260028e+10
 3.19260028e+10 3.19260028e+10 3.19260028e+10 3.19260028e+10
 3.19260028e+10 3.19260028e+10 3.19260028e+10 3.19260028e+10
 3.19260028e+10 3.19260028e+10 3.19260028e+10 3.19260028e+10
 3.19260028e+10 3.19260028e+10 3.19260028e+10 3.19260028e+10
 3.19260028e+10 3.19260028e+10 3.19260028e+10 3.19260028e+10
 3.19260028e+10 3.19260028e+10 3.19260028e+10 3.19260028e+10
 3.19260028e+10 3.19260028e+10 3.19260028e+10 3.19260028e+10
 3.19260028e+10 3.19260028e+10 3.19260028e+10 3.19260028e+10
 3.19260028e+10 3.19260028e+10 3.19260028e+10 3.19260028e+10
 3.19260028e+10 3.19260028e+10 3.19260028e+10 3.19260028e+10
 3.19260028e+10 3.19260028e+10 3.19260028e+10 3.19260028e+10
 3.19260028e+10 3.19260028e+10]","[-1.46136274e+11 -1.46136274e+11 -1.46136274e+11 -1.46136274e+11
 -1.46136274e+11 -1.46136274e+11 -1.46136274e+11 -1.46136274e+11
 -1.46136274e+11 -1.46136274e+11 -1.46136274e+11 -1.46136274e+11
 -1.46136274e+11 -1.46136274e+11 -1.46136274e+11 -1.46136274e+11
 -1.46136274e+11 -1.46136274e+11 -1.46136274e+11 -1.46136274e+11
 -1.46136274e+11 -1.46136274e+11 -1.46136274e+11 -1.46136274e+11
 -1.46136274e+11 -1.46136274e+11 -1.46136274e+11 -1.46136274e+11
 -1.46136274e+11 -1.46136274e+11 -1.46136274e+11 -1.46136274e+11
 -1.46136274e+11 -1.46136274e+11 -1.46136274e+11 -1.46136274e+11
 -1.46136274e+11 -1.46136274e+11 -1.46136274e+11 -1.46136274e+11
 -1.46136274e+11 -1.46136274e+11 -1.46136274e+11 -1.46136274e+11
 -1.46136274e+11 -1.46136274e+11 -1.46136274e+11 -1.46136274e+11
 -1.46136274e+11 -1.46136274e+11]",31.93641609592888,-146.1527383110352,25.442740133829997,226.51155404191053
"[3.71323141e+10 3.71323141e+10 3.71323141e+10 3.71323141e+10
 3.71323141e+10 3.71323141e+10 3.71323141e+10 3.71323141e+10
 3.71323141e+10 3.71323141e+10 3.71323141e+10 3.71323141e+10
 3.71323141e+10 3.71323141e+10 3.71323141e+10 3.71323141e+10
 3.71323141e+10 3.71323141e+10 3.71323141e+10 3.71323141e+10
 3.71323141e+10 3.71323141e+10 3.71323141e+10 3.71323141e+10
 3.71323141e+10 3.71323141e+10 3.71323141e+10 3.71323141e+10
 3.71323141e+10 3.71323141e+10 3.71323141e+10 3.71323141e+10
 3.71323141e+10 3.71323141e+10 3.71323141e+10 3.71323141e+10
 3.71323141e+10 3.71323141e+10 3.71323141e+10 3.71323141e+10
 3.71323141e+10 3.71323141e+10 3.71323141e+10 3.71323141e+10
 3.71323141e+10 3.71323141e+10 3.71323141e+10 3.71323141e+10
 3.71323141e+10 3.71323141e+10]","[-1.44920672e+11 -1.44920672e+11 -1.44920672e+11 -1.44920672e+11
 -1.44920672e+11 -1.44920672e+11 -1.44920672e+11 -1.44920672e+11
 -1.44920672e+11 -1.44920672e+11 -1.44920672e+11 -1.44920672e+11
 -1.44920672e+11 -1.44920672e+11 -1.44920672e+11 -1.44920672e+11
 -1.44920672e+11 -1.44920672e+11 -1.44920672e+11 -1.44920672e+11
 -1.44920672e+11 -1.44920672e+11 -1.44920672e+11 -1.44920672e+11
 -1.44920672e+11 -1.44920672e+11 -1.44920672e+11 -1.44920672e+11
 -1.44920672e+11 -1.44920672e+11 -1.44920672e+11 -1.44920672e+11
 -1.44920672e+11 -1.44920672e+11 -1.44920672e+11 -1.44920672e+11
 -1.44920672e+11 -1.44920672e+11 -1.44920672e+11 -1.44920672e+11
 -1.44920672e+11 -1.44920672e+11 -1.44920672e+11 -1.44920672e+11
 -1.44920672e+11 -1.44920672e+11 -1.44920672e+11 -1.44920672e+11
 -1.44920672e+11 -1.44920672e+11]",37.15432507028617,-144.91476813756557,29.659121978903038,225.97489871664868
"[4.23314084e+10 4.23314084e+10 4.23314084e+10 4.23314084e+10
 4.23314084e+10 4.23314084e+10 4.23314084e+10 4.23314084e+10
 4.23314084e+10 4.23314084e+10 4.23314084e+10 4.23314084e+10
 4.23314084e+10 4.23314084e+10 4.23314084e+10 4.23314084e+10
 4.23314084e+10 4.23314084e+10 4.23314084e+10 4.23314084e+10
 4.23314084e+10 4.23314084e+10 4.23314084e+10 4.23314084e+10
 4.23314084e+10 4.23314084e+10 4.23314084e+10 4.23314084e+10
 4.23314084e+10 4.23314084e+10 4.23314084e+10 4.23314084e+10
 4.23314084e+10 4.23314084e+10 4.23314084e+10 4.23314084e+10
 4.23314084e+10 4.23314084e+10 4.23314084e+10 4.23314084e+10
 4.23314084e+10 4.23314084e+10 4.23314084e+10 4.23314084e+10
 4.23314084e+10 4.23314084e+10 4.23314084e+10 4.23314084e+10
 4.23314084e+10 4.23314084e+10]","[-1.43502121e+11 -1.43502121e+11 -1.43502121e+11 -1.43502121e+11
 -1.43502121e+11 -1.43502121e+11 -1.43502121e+11 -1.43502121e+11
 -1.43502121e+11 -1.43502121e+11 -1.43502121e+11 -1.43502121e+11
 -1.43502121e+11 -1.43502121e+11 -1.43502121e+11 -1.43502121e+11
 -1.43502121e+11 -1.43502121e+11 -1.43502121e+11 -1.43502121e+11
 -1.43502121e+11 -1.43502121e+11 -1.43502121e+11 -1.43502121e+11
 -1.43502121e+11 -1.43502121e+11 -1.43502121e+11 -1.43502121e+11
 -1.43502121e+11 -1.43502121e+11 -1.43502121e+11 -1.43502121e+11
 -1.43502121e+11 -1.43502121e+11 -1.43502121e+11 -1.43502121e+11
 -1.43502121e+11 -1.43502121e+11 -1.43502121e+11 -1.43502121e+11
 -1.43502121e+11 -1.43502121e+11 -1.43502121e+11 -1.43502121e+11
 -1.43502121e+11 -1.43502121e+11 -1.43502121e+11 -1.43502121e+11
 -1.43502121e+11 -1.43502121e+11]",42.32451682607485,-143.4906841843479,33.86472987177076,225.3561578521314
"[4.74281794e+10 4.74281794e+10 4.74281794e+10 4.74281794e+10
 4.74281794e+10 4.74281794e+10 4.74281794e+10 4.74281794e+10
 4.74281794e+10 4.74281794e+10 4.74281794e+10 4.74281794e+10
 4.74281794e+10 4.74281794e+10 4.74281794e+10 4.74281794e+10
 4.74281794e+10 4.74281794e+10 4.74281794e+10 4.74281794e+10
 4.74281794e+10 4.74281794e+10 4.74281794e+10 4.74281794e+10
 4.74281794e+10 4.74281794e+10 4.74281794e+10 4.74281794e+10
 4.74281794e+10 4.74281794e+10 4.74281794e+10 4.74281794e+10
 4.74281794e+10 4.74281794e+10 4.74281794e+10 4.74281794e+10
 4.74281794e+10 4.74281794e+10 4.74281794e+10 4.74281794e+10
 4.74281794e+10 4.74281794e+10 4.74281794e+10 4.74281794e+10
 4.74281794e+10 4.74281794e+10 4.74281794e+10 4.74281794e+10
 4.74281794e+10 4.74281794e+10]","[-1.41868009e+11 -1.41868009e+11 -1.41868009e+11 -1.41868009e+11
 -1.41868009e+11 -1.41868009e+11 -1.41868009e+11 -1.41868009e+11
 -1.41868009e+11 -1.41868009e+11 -1.41868009e+11 -1.41868009e+11
 -1.41868009e+11 -1.41868009e+11 -1.41868009e+11 -1.41868009e+11
 -1.41868009e+11 -1.41868009e+11 -1.41868009e+11 -1.41868009e+11
 -1.41868009e+11 -1.41868009e+11 -1.41868009e+11 -1.41868009e+11
 -1.41868009e+11 -1.41868009e+11 -1.41868009e+11 -1.41868009e+11
 -1.41868009e+11 -1.41868009e+11 -1.41868009e+11 -1.41868009e+11
 -1.41868009e+11 -1.41868009e+11 -1.41868009e+11 -1.41868009e+11
 -1.41868009e+11 -1.41868009e+11 -1.41868009e+11 -1.41868009e+11
 -1.41868009e+11 -1.41868009e+11 -1.41868009e+11 -1.41868009e+11
 -1.41868009e+11 -1.41868009e+11 -1.41868009e+11 -1.41868009e+11
 -1.41868009e+11 -1.41868009e+11]",47.44035205242122,-141.88231795817967,38.05803180647863,224.65552759877073
"[5.24744101e+10 5.24744101e+10 5.24744101e+10 5.24744101e+10
 5.24744101e+10 5.24744101e+10 5.24744101e+10 5.24744101e+10
 5.24744101e+10 5.24744101e+10 5.24744101e+10 5.24744101e+10
 5.24744101e+10 5.24744101e+10 5.24744101e+10 5.24744101e+10
 5.24744101e+10 5.24744101e+10 5.24744101e+10 5.24744101e+10
 5.24744101e+10 5.24744101e+10 5.24744101e+10 5.24744101e+10
 5.24744101e+10 5.24744101e+10 5.24744101e+10 5.24744101e+10
 5.24744101e+10 5.24744101e+10 5.24744101e+10 5.24744101e+10
 5.24744101e+10 5.24744101e+10 5.24744101e+10 5.24744101e+10
 5.24744101e+10 5.24744101e+10 5.24744101e+10 5.24744101e+10
 5.24744101e+10 5.24744101e+10 5.24744101e+10 5.24744101e+10
 5.24744101e+10 5.24744101e+10 5.24744101e+10 5.24744101e+10
 5.24744101e+10 5.24744101e+10]","[-1.40101431e+11 -1.40101431e+11 -1.40101431e+11 -1.40101431e+11
 -1.40101431e+11 -1.40101431e+11 -1.40101431e+11 -1.40101431e+11
 -1.40101431e+11 -1.40101431e+11 -1.40101431e+11 -1.40101431e+11
 -1.40101431e+11 -1.40101431e+11 -1.40101431e+11 -1.40101431e+11
 -1.40101431e+11 -1.40101431e+11 -1.40101431e+11 -1.40101431e+11
 -1.40101431e+11 -1.40101431e+11 -1.40101431e+11 -1.40101431e+11
 -1.40101431e+11 -1.40101431e+11 -1.40101431e+11 -1.40101431e+11
 -1.40101431e+11 -1.40101431e+11 -1.40101431e+11 -1.40101431e+11
 -1.40101431e+11 -1.40101431e+11 -1.40101431e+11 -1.40101431e+11
 -1.40101431e+11 -1.40101431e+11 -1.40101431e+11 -1.40101431e+11
 -1.40101431e+11 -1.40101431e+11 -1.40101431e+11 -1.40101431e+11
 -1.40101431e+11 -1.40101431e+11 -1.40101431e+11 -1.40101431e+11
 -1.40101431e+11 -1.40101431e+11]",52.49526155618612,-140.09173795653518,42.237498541114256,223.87323024648782
"[5.74905432e+10 5.74905432e+10 5.74905432e+10 5.74905432e+10
 5.74905432e+10 5.74905432e+10 5.74905432e+10 5.74905432e+10
 5.74905432e+10 5.74905432e+10 5.74905432e+10 5.74905432e+10
 5.74905432e+10 5.74905432e+10 5.74905432e+10 5.74905432e+10
 5.74905432e+10 5.74905432e+10 5.74905432e+10 5.74905432e+10
 5.74905432e+10 5.74905432e+10 5.74905432e+10 5.74905432e+10
 5.74905432e+10 5.74905432e+10 5.74905432e+10 5.74905432e+10
 5.74905432e+10 5.74905432e+10 5.74905432e+10 5.74905432e+10
 5.74905432e+10 5.74905432e+10 5.74905432e+10 5.74905432e+10
 5.74905432e+10 5.74905432e+10 5.74905432e+10 5.74905432e+10
 5.74905432e+10 5.74905432e+10 5.74905432e+10 5.74905432e+10
 5.74905432e+10 5.74905432e+10 5.74905432e+10 5.74905432e+10
 5.74905432e+10 5.74905432e+10]","[-1.38133052e+11 -1.38133052e+11 -1.38133052e+11 -1.38133052e+11
 -1.38133052e+11 -1.38133052e+11 -1.38133052e+11 -1.38133052e+11
 -1.38133052e+11 -1.38133052e+11 -1.38133052e+11 -1.38133052e+11
 -1.38133052e+11 -1.38133052e+11 -1.38133052e+11 -1.38133052e+11
 -1.38133052e+11 -1.38133052e+11 -1.38133052e+11 -1.38133052e+11
 -1.38133052e+11 -1.38133052e+11 -1.38133052e+11 -1.38133052e+11
 -1.38133052e+11 -1.38133052e+11 -1.38133052e+11 -1.38133052e+11
 -1.38133052e+11 -1.38133052e+11 -1.38133052e+11 -1.38133052e+11
 -1.38133052e+11 -1.38133052e+11 -1.38133052e+11 -1.38133052e+11
 -1.38133052e+11 -1.38133052e+11 -1.38133052e+11 -1.38133052e+11
 -1.38133052e+11 -1.38133052e+11 -1.38133052e+11 -1.38133052e+11
 -1.38133052e+11 -1.38133052e+11 -1.38133052e+11 -1.38133052e+11
 -1.38133052e+11 -1.38133052e+11]",57.48275473416619,-138.1212469833482,46.401603948121405,223.00951421887257
